;condition;id;stimulus_nc;responses;repetitions;object_str;feature_str;;object_se;feature_se
261;seq;VP01;duck_many;"Großer Hase""}";1;irrel;irrel;;irrel;irrel
262;hol;VP02;duck_many;"müdes Huhn""}";1;rel;irrel;;rel;irrel
263;seq;VP03;duck_many;"schwimmende Ente""}";3;rel;irrel;;rel;irrel
264;hol;VP04;duck_many;"tote Hühner""}";2;rel;irrel;;rel;rel
265;seq;VP05;duck_many;"Vogelpfau ""}";6;rel;ne;;rel;ne
266;hol;VP06;duck_many;"Affe""}";1;irrel;ne;;irrel;ne
267;seq;VP07;duck_many;"springender Kreis""}";2;irrel;irrel;;irrel;irrel
268;hol;VP08;duck_many;"frosch""}";2;irrel;ne;;irrel;ne
269;seq;VP09;duck_many;"Pfau""}";1;rel;ne;;rel;ne
270;hol;VP10;duck_many;"müdes Huhn""}";3;rel;ne;;rel;ne
271;seq;VP11;duck_many;"Schwimmen ""}";2;ne;irrel;;ne;irrel
272;hol;VP12;duck_many;"Storch""}";4;rel;ne;;rel;ne
273;seq;VP13;duck_many;"großer Frosch""}";2;irrel;irrel;;irrel;irrel
274;hol;VP14;duck_many;"gelangweiltes Huhn""}";1;rel;irrel;;rel;irrel
275;seq;VP15;duck_many;"Taucher, Schwimmer""}";2;irrel;ne;;irrel;ne
276;hol;VP16;duck_many;"Verspielter Affe""}";1;irrel;irrel;;irrel;irrel
277;seq;VP17;duck_many;"springender Kreis""}";2;irrel;irrel;;irrel;irrel
278;hol;VP18;duck_many;"ein Huhn""}";2;rel;ne;;rel;ne
279;seq;VP19;duck_many;"ertrinkende Person""}";4;irrel;irrel;;irrel;irrel
280;hol;VP20;duck_many;"schlechtgelaunter Affe""}";1;irrel;irrel;;irrel;irrel
281;hol;VP01;duck_one;"Katze""}";2;irrel;ne;;irrel;ne
282;seq;VP02;duck_one;"gutes Huhn""}";2;rel;irrel;;rel;irrel
283;hol;VP03;duck_one;"Katze""}";1;irrel;ne;;irrel;ne
284;seq;VP04;duck_one;"gackerndes Huhn""}";1;rel;irrel;;rel;irrel
285;hol;VP05;duck_one;"Grashüpfer""}";4;irrel;ne;;irrel;ne
286;seq;VP06;duck_one;"Ente""}";1;rel;ne;;rel;ne
287;hol;VP07;duck_one;"kleine Maus""}";2;irrel;irrel;;irrel;irrel
288;seq;VP08;duck_one;"Kröte""}";1;irrel;ne;;irrel;ne
289;hol;VP09;duck_one;"Frosch ""}";1;irrel;ne;;irrel;ne
290;seq;VP10;duck_one;"munteres Huhn""}";2;rel;irrel;;rel;irrel
291;hol;VP11;duck_one;"verstecken spielen""}";2;ne;irrel;;ne;irrel
292;seq;VP12;duck_one;"Huhn""}";1;rel;ne;;rel;ne
293;hol;VP13;duck_one;"Frosch""}";2;irrel;ne;;irrel;ne
294;seq;VP14;duck_one;"gackerndes Huhn""}";1;rel;irrel;;rel;irrel
295;hol;VP15;duck_one;"verstecken""}";2;ne;irrel;;ne;irrel
296;seq;VP16;duck_one;"erwachsenes huhn""}";3;rel;irrel;;rel;irrel
297;hol;VP17;duck_one;"kleine Maus""}";2;irrel;irrel;;irrel;irrel
298;seq;VP18;duck_one;"ein Huhn""}";1;rel;rel;;rel;rel
299;hol;VP19;duck_one;"Frosch""}";12;irrel;ne;;irrel;ne
300;seq;VP20;duck_one;"fröhliches Huhn""}";2;rel;irrel;;rel;irrel
301;seq;VP01;duck_run;"Rennender Vogel""}";1;rel;rel;;rel;rel
302;hol;VP02;duck_run;"schwimmendes Tier""}";2;irrel;irrel;;irrel;irrel
303;seq;VP03;duck_run;"schnatternde Gans""}";2;rel;irrel;;rel;irrel
304;hol;VP04;duck_run;"laufende Enter ""}";9;rel;rel;;rel;rel
305;seq;VP05;duck_run;"laufende Ente ""}";1;rel;rel;;rel;rel
306;hol;VP06;duck_run;"Ente""}";2;rel;ne;;rel;ne
307;seq;VP07;duck_run;"schnelle Ente""}";1;rel;rel;;rel;rel
308;hol;VP08;duck_run;"ein laufendes Tier""}";4;irrel;rel;;irrel;rel
309;seq;VP09;duck_run;"rennende Ente""}";1;rel;rel;;rel;rel
310;hol;VP10;duck_run;"rennender Vogel""}";5;rel;rel;;rel;rel
311;seq;VP11;duck_run;"Vogel art, Papagei ""}";2;rel;ne;;rel;ne
312;hol;VP12;duck_run;"laufende Ente""}";4;rel;rel;;rel;rel
313;seq;VP13;duck_run;"watschelnde Ente""}";1;rel;rel;;rel;rel
314;hol;VP14;duck_run;"fliegender Vogel""}";2;rel;irrel;;rel;irrel
315;seq;VP15;duck_run;"neugieriger Vogel""}";1;rel;irrel;;rel;irrel
316;hol;VP16;duck_run;"Junger Elefant""}";3;irrel;irrel;;irrel;irrel
317;seq;VP17;duck_run;"schnelle Ente""}";1;rel;rel;;rel;rel
318;hol;VP18;duck_run;"ein Vogel""}";2;rel;ne;;rel;ne
319;seq;VP19;duck_run;"Ente""}";2;rel;ne;;rel;ne
320;hol;VP20;duck_run;"schnelle Schlange""}";6;irrel;rel;;irrel;rel
321;hol;VP01;duck_small;"Laufender Vogel""}";4;rel;irrel;;rel;irrel
322;seq;VP02;duck_small;"gebücktes Raubtier""}";2;irrel;irrel;;irrel;irrel
323;hol;VP03;duck_small;"quakende Ente""}";1;rel;irrel;;rel;irrel
324;seq;VP04;duck_small;"Tiger""}";6;irrel;ne;;irrel;ne
325;hol;VP05;duck_small;"Huhn""}";3;rel;ne;;rel;ne
326;seq;VP06;duck_small;"Ente""}";1;rel;ne;;rel;ne
327;hol;VP07;duck_small;"kleine Katze""}";1;irrel;rel;;irrel;rel
328;seq;VP08;duck_small;"ein wütender Zwerg""}";6;irrel;irrel;;irrel;rel
329;hol;VP09;duck_small;"Ente""}";2;rel;ne;;rel;ne
